sequence,visit_day,packet_wave,priority,request_identifier,request_type,duplicate_rows_collapsed,chapters,cluster_titles,source_parts,offices,related_request_waves,request_reason,first_onsite_action,onsite_actions,target_terms,combined_why_it_matters,dedupe_note,capture_exact_folder_title,capture_box_or_container,capture_folder_date_span,capture_withdrawal_sheet,capture_item_title,capture_item_date,capture_sender_recipient,capture_document_type,capture_classification_markings,capture_page_range,capture_attachments,capture_volume_boundary,candidate_disposition,final_source_note,compiler_notes,packet_source_note
1,Pre-visit,Pre-visit / Packet 01,Control,Part 1: 375 pp,Folder-list control reference,1,Volume Control,2013-0185-M folder-title lists,Parts 1-4,Clinton Presidential Library / NSC Access Management,Pre-visit / 01.01,Request for Volume Control: 2013-0185-M folder-title lists.,Ask staff how to cite 2013-0185-M folder-title entries in request slips.,"Ask staff how to cite 2013-0185-M folder-title entries in request slips.; Confirm whether OA/ID numbers map directly to boxes, folders, or accessions for same-day pulls.; Separate Volume VII 1993-1996 material from Volume VIII handoff folders before requesting large later-date runs.",2013-0185-M; folder title list; NSC Folder Titles; OA/ID,"This gives the Library visit a queue: pull high-yield folders first, capture folder covers and withdrawal sheets, then decide which folders merit item-level review.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1-4, Part 1: 375 pp. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
2,Pre-visit,Pre-visit / Packet 02,Control,Part 2: 376 pp,Folder-list control reference,1,Volume Control,2013-0185-M folder-title lists,Parts 1-4,Clinton Presidential Library / NSC Access Management,Pre-visit / 01.02,Request for Volume Control: 2013-0185-M folder-title lists.,Ask staff how to cite 2013-0185-M folder-title entries in request slips.,"Ask staff how to cite 2013-0185-M folder-title entries in request slips.; Confirm whether OA/ID numbers map directly to boxes, folders, or accessions for same-day pulls.; Separate Volume VII 1993-1996 material from Volume VIII handoff folders before requesting large later-date runs.",2013-0185-M; folder title list; NSC Folder Titles; OA/ID,"This gives the Library visit a queue: pull high-yield folders first, capture folder covers and withdrawal sheets, then decide which folders merit item-level review.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1-4, Part 2: 376 pp. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
3,Pre-visit,Pre-visit / Packet 03,Control,Part 3: 356 pp,Folder-list control reference,1,Volume Control,2013-0185-M folder-title lists,Parts 1-4,Clinton Presidential Library / NSC Access Management,Pre-visit / 01.03,Request for Volume Control: 2013-0185-M folder-title lists.,Ask staff how to cite 2013-0185-M folder-title entries in request slips.,"Ask staff how to cite 2013-0185-M folder-title entries in request slips.; Confirm whether OA/ID numbers map directly to boxes, folders, or accessions for same-day pulls.; Separate Volume VII 1993-1996 material from Volume VIII handoff folders before requesting large later-date runs.",2013-0185-M; folder title list; NSC Folder Titles; OA/ID,"This gives the Library visit a queue: pull high-yield folders first, capture folder covers and withdrawal sheets, then decide which folders merit item-level review.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1-4, Part 3: 356 pp. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
4,Pre-visit,Pre-visit / Packet 04,Control,Part 4: 183 pp,Folder-list control reference,1,Volume Control,2013-0185-M folder-title lists,Parts 1-4,Clinton Presidential Library / NSC Access Management,Pre-visit / 01.04,Request for Volume Control: 2013-0185-M folder-title lists.,Ask staff how to cite 2013-0185-M folder-title entries in request slips.,"Ask staff how to cite 2013-0185-M folder-title entries in request slips.; Confirm whether OA/ID numbers map directly to boxes, folders, or accessions for same-day pulls.; Separate Volume VII 1993-1996 material from Volume VIII handoff folders before requesting large later-date runs.",2013-0185-M; folder title list; NSC Folder Titles; OA/ID,"This gives the Library visit a queue: pull high-yield folders first, capture folder covers and withdrawal sheets, then decide which folders merit item-level review.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1-4, Part 4: 183 pp. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
5,Day 1,Day 1 / Packet 01,A,OA/ID 255,OA/ID request,1,Regional Proliferation Cases,"Iran, Iraq, UNSCOM, and regional WMD files","Parts 2, 3, and 4",Near East and South Asian Affairs; Staff Director; Legal Advisor; Intelligence Programs,Day 1 / 08.01,"Request for Regional Proliferation Cases: Iran, Iraq, UNSCOM, and regional WMD files.",Pull Legal Advisor Iran missile sanctions and WMD folders only after policy folders identify decision dates.,"Pull Legal Advisor Iran missile sanctions and WMD folders only after policy folders identify decision dates.; Pull NESA Iraq/UNSCOM and Iran WMD folders from OA/ID 723-729 and 255.; Pull Staff Director Iraq working files and UNSCOM rows in OA/ID 1405, 1417, and 1418 if time permits.",chemical weapons; Iran; Iraq; missile sanctions; UNSCOM; WMD,"This addresses the biggest regional imbalance: North Korea currently dominates, while Iraq/UNSCOM and Iran WMD/missile issues are underbuilt.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 2, 3, and 4, OA/ID 255. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
6,Day 1,Day 1 / Packet 02,A,OA/ID 267,OA/ID request,1,NPT and CTBT,"PRD-19, CTB negotiations, and nuclear-testing policy",Part 1,Defense Policy / Robert Bell and Steven Andreasen,Day 1 / 02.01,"Request for NPT and CTBT: PRD-19, CTB negotiations, and nuclear-testing policy.","For each folder, record exact folder title, date span, classification/restriction markings, item titles, and page ranges.","For each folder, record exact folder title, date span, classification/restriction markings, item titles, and page ranges.; Prioritize OA/ID 267 PRD-19 folders and OA/ID 2899/3333 Andreasen PRD-19 folders.; Then pull OA/ID 381 CTB July-August 1993 folders and OA/ID 3331 CTB negotiations/nuclear testing/France folders.",Comprehensive Test Ban; CTB; hydronuclear; nuclear testing; PRD-19; verification,The public site already has CTBT statements. These folders are the likely internal decision record behind them.,Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 1, OA/ID 267. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
7,Day 1,Day 1 / Packet 03,A,OA/ID 278,OA/ID request,1,Regional Proliferation Cases,North Korea PC/DC meeting notes and working files,"Parts 2, 3, and 4",Staff Director / Nancy Soderberg; NSC regional and speechwriting files,Day 1 / 07.03,Request for Regional Proliferation Cases: North Korea PC/DC meeting notes and working files.,"Pull OA/ID 1394 North Korea PC/DC notes from November 1993 through October 1994, plus May 28, 1996.","Pull OA/ID 1394 North Korea PC/DC notes from November 1993 through October 1994, plus May 28, 1996.; Pull OA/ID 1406 North Korea July 1993 and May-June 1994 folders.; Use Intelligence Programs North Korea/North Korea-Nuclear rows as a second-day source lane if access allows.",Agreed Framework; DC meeting; DPRK; North Korea; PC meeting,"The existing regional chapter is DPRK-heavy but still needs actual PC/DC sequence records, not only file-unit titles.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 2, 3, and 4, OA/ID 278. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
8,Day 1,Day 1 / Packet 04,A,OA/ID 379,OA/ID request,1,NPT and CTBT,"PRD-19, CTB negotiations, and nuclear-testing policy",Part 1,Defense Policy / Robert Bell and Steven Andreasen,Day 1 / 02.02,"Request for NPT and CTBT: PRD-19, CTB negotiations, and nuclear-testing policy.","For each folder, record exact folder title, date span, classification/restriction markings, item titles, and page ranges.","For each folder, record exact folder title, date span, classification/restriction markings, item titles, and page ranges.; Prioritize OA/ID 267 PRD-19 folders and OA/ID 2899/3333 Andreasen PRD-19 folders.; Then pull OA/ID 381 CTB July-August 1993 folders and OA/ID 3331 CTB negotiations/nuclear testing/France folders.",Comprehensive Test Ban; CTB; hydronuclear; nuclear testing; PRD-19; verification,The public site already has CTBT statements. These folders are the likely internal decision record behind them.,Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 1, OA/ID 379. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
9,Day 1,Day 1 / Packet 05,A,OA/ID 380,OA/ID request,2,NPT and CTBT; START II Ratification,"PRD-19, CTB negotiations, and nuclear-testing policy; START II, Ukraine START, and Nunn-Lugar certification folders",Part 1,Defense Policy / Robert Bell and Anne Witkowsky; Defense Policy / Robert Bell and Steven Andreasen,Day 1 / 02.03; Day 1 / 04.01,"Request once; supports NPT and CTBT, START II Ratification across 2 staged clusters.","For each folder, record exact folder title, date span, classification/restriction markings, item titles, and page ranges.","For each folder, record exact folder title, date span, classification/restriction markings, item titles, and page ranges.; Prioritize OA/ID 267 PRD-19 folders and OA/ID 2899/3333 Andreasen PRD-19 folders.; Pull OA/ID 2431 Nunn-Lugar Foreign Assistance folders [2]-[4] and compare with 2014-0644-M Nunn-Lugar MDR packet.; Pull OA/ID 940 Nunn-Lugar Certification and Russian START II/START EIF/Ukraine START folders.; Start with OA/ID 380 Russia START II ratification and Ukraine START folders.; Then pull OA/ID 381 CTB July-August 1993 folders and OA/ID 3331 CTB negotiations/nuclear testing/France folders.",certification; Comprehensive Test Ban; CTB; entry into force; hydronuclear; nuclear testing; Nunn-Lugar; PRD-19; START II; Ukraine START; verification,"The public site already has CTBT statements. These folders are the likely internal decision record behind them.; The START II chapter needs Senate/Duma/ABM context, while CTR/HEU needs the same former-Soviet nuclear-security implementation trail.",Collapsed 2 queue rows into one reading-room request for OA/ID 380.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 1, OA/ID 380. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
10,Day 1,Day 1 / Packet 06,A,OA/ID 381,OA/ID request,3,NPT and CTBT; Cooperative Threat Reduction and HEU Agreement; Chemical and Biological Weapons,"CWC ratification, BWC, Russian BW/CW, and chemical demilitarization; DOE safeguards, Russian nuclear control, and HEU implementation paths; PRD-19, CTB negotiations, and nuclear-testing policy","Part 1; Parts 1, 3, and 4","Defense Policy / Robert Bell and Steven Andreasen; Defense Policy / Robert Bell, Steven Andreasen, Betsy Pimentel, and Edward Bolton; Defense Policy, Legal Advisor, Speechwriting",Day 1 / 02.04; Day 1 / 05.01; Day 1 / 06.01,"Request once; supports NPT and CTBT, Cooperative Threat Reduction and HEU Agreement, Chemical and Biological Weapons across 3 staged clusters.",Check OA/ID 2818 nuclear summit notification and MTCR/export-control folders for overlap with HEU or nuclear-materials security.,"Check OA/ID 2818 nuclear summit notification and MTCR/export-control folders for overlap with HEU or nuclear-materials security.; For each folder, record exact folder title, date span, classification/restriction markings, item titles, and page ranges.; Prioritize OA/ID 267 PRD-19 folders and OA/ID 2899/3333 Andreasen PRD-19 folders.; Pull Defense Policy CWC ratification folders in OA/ID 381, 939, and 844.; Pull Legal Advisor CWC/BWC folders: OA/ID 1007, 2471, 3115, 3311, 3390, and 3393.; Pull OA/ID 3592 DOE Safeguards/Security folders [2]-[5].; Pull OA/ID 381 Russian Nuclear Control August 1993 and DoE 1-KT Non-Proliferation Experiment folders.; Pull Speechwriting CWC folders only after internal policy folders, using them to trace public-language clearance.; Then pull OA/ID 381 CTB July-August 1993 folders and OA/ID 3331 CTB negotiations/nuclear testing/France folders.",BWC; chemical demilitarization; Comprehensive Test Ban; CTB; CWC; DOE; HEU; hydronuclear; nuclear security; nuclear testing; PRD-19; Russian BW; Russian CW; Russian nuclear control; safeguards; verification,"CTR/HEU selection will be weak without DOE, safeguards, nuclear-control, and transparency records.; The public site already has CTBT statements. These folders are the likely internal decision record behind them.; This turns the CBW chapter from public letters into a real ratification, verification, and Russian compliance source map.",Collapsed 3 queue rows into one reading-room request for OA/ID 381.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 1, Parts 1, 3, and 4, OA/ID 381. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
