sequence,queue,readiness,next_action,required_verification,date,chapter,priority,title,source_type,repository,collection,identifier,level,confidence,compiler_risk,source_note,source_url,digital_object_url,summary
1,Close-read now,Document-level or review-copy candidate,Close-read the text and record final citation fields before deciding whether it belongs in the chronology.,owning repository; folder path; item date; author/recipient; classification markings; pagination,1996-01-26,START II Ratification,High,"Telephone call with President Boris Yeltsin of Russia, January 26, 1996",Companion site released telcon,Clinton-Russia-High-Level,Clinton Library release packet 2015-0782-M-1,2015-0782-M-1 / telcon 33,item-level review copy,High,Review copy derives from the companion page; cite the Clinton Library packet in final source notes.,"Source: Clinton Library release packet 2015-0782-M-1, 2015-0782-M-1 / telcon 33. Title: ""Telephone call with President Boris Yeltsin of Russia, January 26, 1996"". Research lead; verify item-level source details before final FRUS selection. Review copy available through the companion Clinton-Russia page; verify the final citation against the owning release packet.",https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin,https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-01-26-telcon-33.pdf,Five-page released Clinton-Yeltsin telcon on the same day as Clinton's START II ratification statement; high-value companion to the public statement and Senate record.
2,Close-read now,Document-level or review-copy candidate,Close-read the text and record final citation fields before deciding whether it belongs in the chronology.,owning repository; folder path; item date; author/recipient; classification markings; pagination,1993-04-04,Cooperative Threat Reduction and HEU Agreement,High,Meeting with Russian President Boris Yeltsin on Security Issues,Companion site released memcon,Clinton-Russia-High-Level,NSC Records Management PRS Files,NAID 163545404 / Document ID 9302226,item-level review copy,High,Companion review copy; final citation should use the NARA catalog item and original page range.,"Source: NSC Records Management PRS Files, NAID 163545404 / Document ID 9302226. Title: ""Meeting with Russian President Boris Yeltsin on Security Issues"". Research lead; verify item-level source details before final FRUS selection. Review copy available through the companion Clinton-Russia page; verify the final citation against the owning release packet.",https://catalog.archives.gov/id/163545404,https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-04-04-clinton-yeltsin-vancouver-security-issues.pdf,"Vancouver summit security memcon covering HEU, nuclear testing, Ukraine, START, arms sales, and related security issues."
3,Close-read now,Document-level or review-copy candidate,Close-read the text and record final citation fields before deciding whether it belongs in the chronology.,owning repository; folder path; item date; author/recipient; classification markings; pagination,1994-01-14,Cooperative Threat Reduction and HEU Agreement,High,Trilateral Meeting with President Boris Yeltsin of Russia on Security Issues,Companion site released memcon,Clinton-Russia-High-Level,Department of State FOIA candidate copy,C06694499 / F-2017-13804,item-level review copy,High,State FOIA/Drive copy needs final archival citation verification.,"Source: Department of State FOIA candidate copy, C06694499 / F-2017-13804. Title: ""Trilateral Meeting with President Boris Yeltsin of Russia on Security Issues"". Research lead; verify item-level source details before final FRUS selection. Review copy available through the companion Clinton-Russia page; verify the final citation against the owning release packet.",https://drive.google.com/file/d/1mA2m1fonXTwvzmbdVLzjWV7iGpBWAC1r/view,https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-01-14-memcon-trilateral-yeltsin-kravchuk.pdf,Three-page Clinton-Yeltsin-Kravchuk security memcon for the Moscow denuclearization sequence.
4,Close-read now,Document-level or review-copy candidate,Close-read the text and record final citation fields before deciding whether it belongs in the chronology.,owning repository; folder path; item date; author/recipient; classification markings; pagination,1994-09-28,Chemical and Biological Weapons,High,Second Clinton/Yeltsin One-on-One,Companion site released memcon,Clinton-Russia-High-Level,NSC European Affairs Office,2018-1215-M / CDL item 101758,item-level review copy,High,High-value CBW item; source note should cite the Clinton Digital Library item and NAID 7585499.,"Source: NSC European Affairs Office, 2018-1215-M / CDL item 101758. Title: ""Second Clinton/Yeltsin One-on-One"". Research lead; verify item-level source details before final FRUS selection. Review copy available through the companion Clinton-Russia page; verify the final citation against the owning release packet.",https://clinton.presidentiallibraries.us/items/show/101758,https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-09-28-second-one-on-one.pdf,"Released Clinton-Yeltsin one-on-one text covering CW/BW, Ukraine, Nagorno-Karabakh, CoCom, NATO, and European security."
5,Close-read now,Document-level or review-copy candidate,Close-read the text and record final citation fields before deciding whether it belongs in the chronology.,owning repository; folder path; item date; author/recipient; classification markings; pagination,1995-02-10,Conventional Arms and Landmines,High,PDD/NSC-34: U.S. Policy on Conventional Arms Transfer,Presidential decision directive,Clinton Presidential Library,Presidential Directives,PDD/NSC-34,published primary source,High,Core policy text; still needs supporting NSC/State/DOD implementation and arms-transfer decision records.,"Source: Clinton Presidential Library, Presidential Directives, PDD/NSC-34. Title: ""PDD/NSC-34: U.S. Policy on Conventional Arms Transfer"". Published primary source.",https://www.clintonlibrary.gov/sites/default/files/documents/pdd-34.pdf,,"Declassified White House directive setting Clinton administration conventional arms transfer policy, including arms-control and nonproliferation criteria."
6,Close-read now,Document-level or review-copy candidate,Close-read the text and record final citation fields before deciding whether it belongs in the chronology.,owning repository; folder path; item date; author/recipient; classification markings; pagination,1996-06-26,Conventional Arms and Landmines,High,PDD/NSC-48: Anti-Personnel Landmines,Presidential decision directive source path,Clinton Presidential Library,Presidential Directives,PDD/NSC-48,source-path lead,Medium,Official Clinton Library directive list confirms the policy directive; locate official document text or cite released copy before final use.,"Source: Clinton Presidential Library, Presidential Directives, PDD/NSC-48. Title: ""PDD/NSC-48: Anti-Personnel Landmines"". Source-path lead; replace with an item-level archival citation before final FRUS selection.",https://www.clintonlibrary.gov/research/presidential-directives,,"Official Clinton Library presidential-directives path for the June 26, 1996 anti-personnel landmine directive."
7,Screen packet,MDR or release-packet lead,"Screen the packet for discrete memoranda, cables, telcons, memcons, directives, or action papers.",packet page range; exact item title; item date; classification markings; attachments; final source note,1993-1996,START II Ratification,High,Declassified Documents of Robert Bell concerning START II and Non-Proliferation,Clinton Digital Library MDR,Clinton Digital Library,NSC Records Management System,2016-0048-M,packet lead,High,"Directly relevant, but packet contents still need item-level source notes.","Source: Clinton Digital Library, NSC Records Management System, 2016-0048-M. Packet title: ""Declassified Documents of Robert Bell concerning START II and Non-Proliferation"". Packet lead; exact item title, classification, and pagination pending.",https://clinton.presidentiallibraries.us/items/show/101140,,"MDR packet described as memoranda, briefing papers, and notes related to denuclearization discussions with Ukraine and Russia."
8,Screen packet,MDR or release-packet lead,"Screen the packet for discrete memoranda, cables, telcons, memcons, directives, or action papers.",packet page range; exact item title; item date; classification markings; attachments; final source note,1994-1996,Cooperative Threat Reduction and HEU Agreement,High,Declassified Documents Concerning the Nunn-Lugar Cooperative Threat Reduction Program,Clinton Digital Library MDR,Clinton Digital Library,NSC Records Management System,2014-0644-M,packet lead,High,Direct CTR packet; item boundaries and source-note details still need review.,"Source: Clinton Digital Library, NSC Records Management System, 2014-0644-M. Packet title: ""Declassified Documents Concerning the Nunn-Lugar Cooperative Threat Reduction Program"". Packet lead; exact item title, classification, and pagination pending.",https://clinton.presidentiallibraries.us/items/show/49417,,"MDR packet with memoranda from 1994 through 1996 on Nunn-Lugar in Ukraine and the Balkan states, plus a February 1994 cable on space cooperation with Ukraine."
9,Screen packet,MDR or release-packet lead,"Screen the packet for discrete memoranda, cables, telcons, memcons, directives, or action papers.",packet page range; exact item title; item date; classification markings; attachments; final source note,1994-05-20,Regional Proliferation Cases,High,Declassified Documents concerning North Korea,Clinton Digital Library MDR,Clinton Digital Library,NSC Records Management Office,2013-0870-M,packet lead,High,Direct PC packet; verify released pages and title boundaries before final selection.,"Source: Clinton Digital Library, NSC Records Management Office, 2013-0870-M. Packet title: ""Declassified Documents concerning North Korea"". Packet lead; exact item title, classification, and pagination pending.",https://clinton.presidentiallibraries.us/items/show/36633,,"MDR packet containing a Principals Committee summary of conclusions and background memo to Anthony Lake for a May 20, 1994 North Korea meeting."
10,Screen packet,MDR or release-packet lead,"Screen the packet for discrete memoranda, cables, telcons, memcons, directives, or action papers.",packet page range; exact item title; item date; classification markings; attachments; final source note,1994,Regional Proliferation Cases,High,Declassified documents on North Korea,Clinton Digital Library MDR,Clinton Digital Library,Daniel Poneman files,2013-0865-M,packet lead,High,Direct DPRK packet; item-level review needed.,"Source: Clinton Digital Library, Daniel Poneman files, 2013-0865-M. Packet title: ""Declassified documents on North Korea"". Packet lead; exact item title, classification, and pagination pending.",https://clinton.presidentiallibraries.us/items/show/47978,,MDR packet from Daniel Poneman files including a Department of Defense memo regarding a proposed nuclear agreement in 1994.
